,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.818,0.857,0.917,0.836,0.913,0.906,0.907,0.758,0.74,0.798,0.872,0.928,0.96,0.972,0.774,0.932,0.927,0.816,0.907,0.946
ACORX666_20230216002023030300T.scan,2,48,0.748,0.785,0.847,0.76,0.843,0.819,0.842,0.683,0.623,0.684,0.75,0.878,0.948,0.96,0.67,0.878,0.855,0.715,0.838,0.883
ACORX666_20230216002023030300T.scan,3,72,0.685,0.725,0.779,0.697,0.773,0.743,0.733,0.618,0.516,0.605,0.646,0.787,0.908,0.932,0.576,0.799,0.797,0.614,0.742,0.802
ACORX666_20230216002023030300T.scan,4,96,0.639,0.67,0.709,0.639,0.702,0.686,0.6,0.545,0.418,0.526,0.552,0.682,0.829,0.869,0.527,0.73,0.755,0.527,0.606,0.718
ACORX666_20230216002023030300T.scan,5,120,0.588,0.611,0.636,0.576,0.626,0.656,0.519,0.493,0.344,0.456,0.475,0.623,0.818,0.825,0.454,0.661,0.664,0.487,0.527,0.632
ACORX666_20230216002023030300T.scan,6,144,0.517,0.519,0.47,0.48,0.459,0.568,0.398,0.48,0.316,0.392,0.414,0.547,0.748,0.708,0.386,0.552,0.575,0.405,0.447,0.485
ACORX666_20230216002023030300T.scan,7,168,0.45,0.448,0.422,0.414,0.413,0.466,0.335,0.471,0.293,0.33,0.355,0.493,0.61,0.575,0.317,0.486,0.504,0.336,0.291,0.309
ACORX666_20230216002023030300T.scan,8,192,0.394,0.349,0.304,0.324,0.3,0.44,0.236,0.426,0.25,0.276,0.273,0.367,0.464,0.414,0.248,0.393,0.385,0.245,0.208,0.136
ACORX666_20230216002023030300T.scan,9,216,0.392,0.335,0.388,0.307,0.377,0.431,0.155,0.439,0.248,0.252,0.28,0.31,0.494,0.49,0.227,0.376,0.389,0.289,0.257,0.225
ACORX666_20230216002023030300T.scan,10,240,0.326,0.244,0.278,0.217,0.268,0.4,0.115,0.424,0.253,0.258,0.282,0.251,0.424,0.428,0.184,0.319,0.343,0.146,0.152,0.151
ACORX666_20230216002023030300T.scan,11,264,0.256,0.145,0.24,0.123,0.228,0.336,0.207,0.376,0.226,0.225,0.211,0.339,0.409,0.4,0.205,0.274,0.272,0.155,0.157,0.046
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.945,0.965,0.998,0.961,0.998,0.887,0.746,0.941,0.954,0.985,0.944,0.999,1.0,0.882,0.864,0.918,0.921,0.876,0.877,0.932
ACORDTC_20230216002023030300T.scan,2,48,0.901,0.938,0.996,0.93,0.996,0.803,0.684,0.833,0.863,0.957,0.781,0.999,1.0,0.852,0.716,0.842,0.833,0.725,0.739,0.832
ACORDTC_20230216002023030300T.scan,3,72,0.873,0.923,0.995,0.912,0.994,0.703,0.575,0.768,0.804,0.937,0.643,0.999,1.0,0.794,0.607,0.755,0.758,0.657,0.631,0.732
ACORDTC_20230216002023030300T.scan,4,96,0.844,0.907,0.992,0.894,0.992,0.617,0.446,0.699,0.759,0.92,0.526,0.998,1.0,0.677,0.551,0.698,0.655,0.529,0.478,0.555
ACORDTC_20230216002023030300T.scan,5,120,0.829,0.899,0.991,0.887,0.99,0.541,0.35,0.643,0.709,0.905,0.421,0.998,1.0,0.577,0.438,0.654,0.523,0.437,0.381,0.325
ACORDTC_20230216002023030300T.scan,6,144,0.797,0.877,0.988,0.865,0.987,0.416,0.282,0.602,0.687,0.892,0.353,0.998,1.0,0.519,0.391,0.62,0.46,0.339,0.281,0.198
