,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.79,0.88,0.98,0.873,0.98,0.972,0.95,0.794,0.794,0.876,0.927,0.976,0.992,0.995,0.891,0.963,0.974,0.89,0.962,0.974
ACORX666_20230216002023030300T.scan,2,48,0.697,0.804,0.944,0.796,0.944,0.933,0.914,0.703,0.656,0.763,0.832,0.95,0.974,0.982,0.828,0.922,0.94,0.825,0.919,0.938
ACORX666_20230216002023030300T.scan,3,72,0.624,0.729,0.888,0.721,0.888,0.872,0.867,0.626,0.537,0.658,0.727,0.911,0.941,0.954,0.753,0.86,0.885,0.747,0.85,0.876
ACORX666_20230216002023030300T.scan,4,96,0.56,0.653,0.82,0.646,0.819,0.795,0.804,0.552,0.438,0.554,0.62,0.855,0.892,0.906,0.67,0.786,0.815,0.65,0.755,0.782
ACORX666_20230216002023030300T.scan,5,120,0.516,0.593,0.741,0.587,0.741,0.706,0.73,0.487,0.364,0.466,0.519,0.784,0.835,0.847,0.578,0.7,0.729,0.542,0.65,0.665
ACORX666_20230216002023030300T.scan,6,144,0.46,0.515,0.648,0.51,0.648,0.626,0.653,0.428,0.297,0.397,0.431,0.703,0.755,0.766,0.496,0.611,0.631,0.429,0.525,0.537
ACORX666_20230216002023030300T.scan,7,168,0.405,0.432,0.539,0.429,0.539,0.549,0.59,0.378,0.246,0.345,0.357,0.632,0.675,0.679,0.434,0.53,0.544,0.336,0.421,0.438
ACORX666_20230216002023030300T.scan,8,192,0.363,0.372,0.449,0.37,0.449,0.477,0.535,0.333,0.202,0.31,0.296,0.567,0.59,0.59,0.366,0.44,0.465,0.254,0.318,0.335
ACORX666_20230216002023030300T.scan,9,216,0.357,0.359,0.393,0.358,0.393,0.438,0.481,0.302,0.18,0.269,0.248,0.496,0.516,0.517,0.296,0.364,0.382,0.205,0.261,0.266
ACORX666_20230216002023030300T.scan,10,240,0.357,0.338,0.348,0.337,0.348,0.405,0.426,0.296,0.178,0.235,0.224,0.435,0.452,0.453,0.244,0.297,0.32,0.183,0.242,0.228
ACORX666_20230216002023030300T.scan,11,264,0.351,0.322,0.31,0.322,0.311,0.386,0.372,0.291,0.17,0.208,0.193,0.379,0.405,0.406,0.215,0.274,0.295,0.149,0.21,0.198
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.919,0.939,0.997,0.934,0.997,0.954,0.952,0.951,0.972,0.981,0.963,0.999,1.0,0.983,0.923,0.968,0.965,0.917,0.951,0.962
ACORDTC_20230216002023030300T.scan,2,48,0.844,0.877,0.993,0.867,0.993,0.893,0.908,0.869,0.924,0.936,0.859,0.999,1.0,0.961,0.836,0.929,0.917,0.821,0.887,0.906
