,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.789,0.911,0.984,0.908,0.984,0.98,0.963,0.829,0.835,0.898,0.943,0.98,0.993,0.996,0.902,0.966,0.982,0.897,0.965,0.982
ACORX666_20230216002023030300T.scan,2,48,0.67,0.824,0.95,0.821,0.95,0.95,0.929,0.732,0.714,0.798,0.862,0.958,0.977,0.986,0.849,0.928,0.957,0.842,0.923,0.954
ACORX666_20230216002023030300T.scan,3,72,0.585,0.735,0.895,0.732,0.895,0.899,0.882,0.627,0.589,0.676,0.756,0.921,0.946,0.961,0.778,0.866,0.911,0.764,0.855,0.9
ACORX666_20230216002023030300T.scan,4,96,0.522,0.654,0.831,0.651,0.831,0.835,0.822,0.538,0.495,0.57,0.651,0.872,0.905,0.925,0.697,0.794,0.852,0.669,0.766,0.818
ACORX666_20230216002023030300T.scan,5,120,0.485,0.6,0.769,0.598,0.77,0.767,0.757,0.447,0.41,0.479,0.534,0.812,0.867,0.887,0.601,0.716,0.777,0.567,0.673,0.713
ACORX666_20230216002023030300T.scan,6,144,0.444,0.536,0.689,0.535,0.689,0.697,0.693,0.383,0.34,0.387,0.44,0.745,0.803,0.821,0.526,0.641,0.69,0.466,0.561,0.599
ACORX666_20230216002023030300T.scan,7,168,0.401,0.455,0.583,0.455,0.583,0.636,0.641,0.317,0.276,0.312,0.367,0.688,0.742,0.755,0.475,0.574,0.608,0.379,0.485,0.539
ACORX666_20230216002023030300T.scan,8,192,0.372,0.403,0.499,0.403,0.5,0.572,0.59,0.274,0.233,0.251,0.305,0.63,0.663,0.672,0.41,0.481,0.52,0.312,0.399,0.451
ACORX666_20230216002023030300T.scan,9,216,0.368,0.394,0.452,0.396,0.453,0.549,0.553,0.223,0.209,0.19,0.25,0.581,0.605,0.609,0.35,0.417,0.432,0.271,0.345,0.368
ACORX666_20230216002023030300T.scan,10,240,0.371,0.371,0.412,0.372,0.412,0.514,0.504,0.21,0.202,0.162,0.231,0.531,0.551,0.553,0.298,0.353,0.371,0.257,0.325,0.326
ACORX666_20230216002023030300T.scan,11,264,0.371,0.363,0.395,0.363,0.395,0.502,0.434,0.221,0.205,0.148,0.213,0.457,0.503,0.513,0.259,0.336,0.367,0.192,0.289,0.314
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.897,0.918,0.996,0.914,0.996,0.964,0.949,0.933,0.954,0.948,0.956,0.999,1.0,0.987,0.922,0.967,0.974,0.918,0.949,0.971
ACORDTC_20230216002023030300T.scan,2,48,0.807,0.836,0.99,0.831,0.99,0.916,0.907,0.842,0.89,0.86,0.861,0.998,1.0,0.972,0.851,0.933,0.94,0.838,0.891,0.93
ACORDTC_20230216002023030300T.scan,3,72,0.732,0.764,0.983,0.758,0.983,0.852,0.864,0.748,0.834,0.785,0.755,0.997,1.0,0.941,0.777,0.891,0.888,0.747,0.819,0.865
ACORDTC_20230216002023030300T.scan,4,96,0.678,0.712,0.975,0.705,0.975,0.781,0.819,0.666,0.786,0.725,0.661,0.995,1.0,0.905,0.696,0.845,0.824,0.658,0.742,0.783
ACORDTC_20230216002023030300T.scan,5,120,0.637,0.672,0.968,0.665,0.968,0.712,0.777,0.589,0.742,0.67,0.562,0.994,1.0,0.87,0.61,0.795,0.754,0.574,0.678,0.693
ACORDTC_20230216002023030300T.scan,6,144,0.608,0.641,0.96,0.635,0.96,0.64,0.721,0.519,0.699,0.628,0.472,0.992,0.999,0.818,0.552,0.757,0.676,0.47,0.562,0.592
ACORDTC_20230216002023030300T.scan,7,168,0.58,0.611,0.949,0.605,0.949,0.589,0.647,0.453,0.653,0.585,0.387,0.99,0.999,0.755,0.49,0.714,0.611,0.383,0.497,0.519
ACORDTC_20230216002023030300T.scan,8,192,0.555,0.583,0.94,0.578,0.94,0.535,0.583,0.391,0.611,0.546,0.31,0.987,0.999,0.67,0.428,0.667,0.511,0.322,0.43,0.443
ACORDTC_20230216002023030300T.scan,9,216,0.529,0.56,0.934,0.554,0.934,0.483,0.536,0.365,0.594,0.533,0.275,0.985,0.999,0.601,0.374,0.625,0.458,0.289,0.375,0.386
ACORDTC_20230216002023030300T.scan,10,240,0.525,0.556,0.93,0.549,0.93,0.448,0.496,0.355,0.583,0.52,0.25,0.984,0.999,0.546,0.326,0.596,0.39,0.252,0.331,0.339
ACORDTC_20230216002023030300T.scan,11,264,0.521,0.552,0.928,0.545,0.928,0.432,0.486,0.368,0.585,0.52,0.245,0.984,0.999,0.519,0.308,0.589,0.371,0.253,0.336,0.304
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.853,0.894,0.995,0.89,0.995,0.947,0.944,0.89,0.923,0.918,0.927,0.999,1.0,0.983,0.891,0.951,0.957,0.884,0.921,0.952
ACORBAMH_20230216002023030300T.scan,2,48,0.757,0.808,0.988,0.802,0.988,0.893,0.898,0.784,0.85,0.832,0.824,0.998,1.0,0.965,0.817,0.916,0.919,0.806,0.859,0.906
ACORBAMH_20230216002023030300T.scan,3,72,0.682,0.736,0.98,0.728,0.979,0.826,0.848,0.691,0.792,0.766,0.718,0.996,1.0,0.93,0.737,0.872,0.861,0.715,0.783,0.837
ACORBAMH_20230216002023030300T.scan,4,96,0.633,0.687,0.971,0.679,0.971,0.764,0.809,0.607,0.745,0.717,0.625,0.995,1.0,0.897,0.657,0.824,0.8,0.626,0.716,0.764
ACORBAMH_20230216002023030300T.scan,5,120,0.602,0.653,0.964,0.645,0.964,0.703,0.767,0.547,0.709,0.667,0.532,0.994,1.0,0.86,0.582,0.778,0.731,0.548,0.652,0.685
ACORBAMH_20230216002023030300T.scan,6,144,0.56,0.606,0.953,0.599,0.953,0.63,0.697,0.464,0.657,0.621,0.438,0.992,0.999,0.808,0.503,0.737,0.664,0.438,0.538,0.582
ACORBAMH_20230216002023030300T.scan,7,168,0.534,0.578,0.943,0.571,0.943,0.578,0.627,0.415,0.622,0.586,0.359,0.989,0.999,0.751,0.45,0.698,0.594,0.369,0.487,0.514
ACORBAMH_20230216002023030300T.scan,8,192,0.518,0.561,0.936,0.553,0.936,0.537,0.581,0.398,0.607,0.558,0.316,0.988,0.999,0.704,0.407,0.673,0.538,0.308,0.428,0.439
ACORBAMH_20230216002023030300T.scan,9,216,0.475,0.521,0.929,0.513,0.929,0.506,0.511,0.339,0.57,0.545,0.265,0.985,0.999,0.637,0.359,0.638,0.488,0.26,0.371,0.385
ACORBAMH_20230216002023030300T.scan,10,240,0.483,0.524,0.924,0.516,0.924,0.496,0.438,0.321,0.558,0.524,0.223,0.983,0.999,0.558,0.298,0.6,0.411,0.224,0.307,0.313
ACORBAMH_20230216002023030300T.scan,11,264,0.484,0.526,0.918,0.517,0.918,0.461,0.384,0.339,0.567,0.524,0.221,0.982,0.999,0.495,0.261,0.563,0.369,0.201,0.269,0.264
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,3.55,2.272,0.861,2.27,0.861,0.87,3.329,0.001,0.001,0.0,1.601,17.994,15.824,14.442,3.421,3.026,3.011,3.35,2.927,2.899
RMSEX666_20230216002023030300T.scan,2,48,4.598,3.21,1.539,3.192,1.534,1.421,5.104,0.001,0.001,0.0,2.504,29.087,29.578,29.42,4.345,4.469,4.699,4.299,4.356,4.574
RMSEX666_20230216002023030300T.scan,3,72,5.312,3.992,2.272,3.955,2.262,2.06,6.772,0.001,0.001,0.0,3.365,41.118,46.459,49.632,5.383,6.176,6.786,5.28,5.986,6.762
RMSEX666_20230216002023030300T.scan,4,96,5.814,4.611,2.896,4.558,2.88,2.685,8.338,0.001,0.001,0.0,4.037,52.797,62.587,70.154,6.31,7.735,8.78,6.225,7.647,9.083
RMSEX666_20230216002023030300T.scan,5,120,6.101,5.037,3.45,4.968,3.429,3.191,9.797,0.001,0.001,0.001,4.66,64.671,76.298,89.623,7.197,9.077,10.802,7.119,9.158,11.446
RMSEX666_20230216002023030300T.scan,6,144,6.375,5.467,4.108,5.386,4.084,3.634,11.03,0.002,0.002,0.001,5.108,75.76,94.726,116.376,7.836,10.199,12.694,7.948,10.71,13.645
RMSEX666_20230216002023030300T.scan,7,168,6.734,5.982,4.804,5.89,4.777,4.022,12.051,0.002,0.002,0.001,5.486,84.8,110.522,139.416,8.231,11.086,14.274,8.556,11.591,14.665
RMSEX666_20230216002023030300T.scan,8,192,7.005,6.342,5.3,6.241,5.27,4.388,13.047,0.002,0.002,0.001,5.812,93.725,126.876,162.102,8.712,12.244,15.965,8.98,12.547,16.279
RMSEX666_20230216002023030300T.scan,9,216,7.053,6.391,5.528,6.283,5.496,4.491,13.965,0.002,0.002,0.001,6.024,102.655,138.327,176.069,9.173,12.93,17.364,9.218,13.15,17.576
RMSEX666_20230216002023030300T.scan,10,240,7.065,6.486,5.665,6.381,5.633,4.665,14.677,0.002,0.002,0.001,6.089,108.658,146.85,186.188,9.645,13.768,18.335,9.273,13.121,17.819
RMSEX666_20230216002023030300T.scan,11,264,7.128,6.56,5.696,6.453,5.663,4.773,15.157,0.002,0.002,0.001,6.227,112.948,152.016,192.33,9.719,13.712,18.096,9.552,13.349,17.782
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,2.655,2.523,1.313,2.503,1.312,1.177,3.733,0.001,0.001,0.0,1.431,26.643,24.625,27.626,3.139,2.721,3.658,3.081,2.571,3.686
RMSEDTC_20230216002023030300T.scan,2,48,3.729,3.587,2.098,3.548,2.09,1.825,5.44,0.001,0.001,0.001,2.516,37.896,33.599,41.69,4.394,3.929,5.558,4.366,3.766,5.673
RMSEDTC_20230216002023030300T.scan,3,72,4.475,4.342,2.8,4.284,2.785,2.478,6.919,0.001,0.001,0.001,3.325,48.649,44.872,61.056,5.448,5.047,7.6,5.486,4.875,7.787
RMSEDTC_20230216002023030300T.scan,4,96,5.004,4.877,3.396,4.806,3.373,3.029,8.205,0.001,0.001,0.001,3.915,58.588,55.645,78.872,6.376,6.036,9.479,6.475,5.939,9.806
RMSEDTC_20230216002023030300T.scan,5,120,5.419,5.301,3.869,5.217,3.84,3.464,9.095,0.001,0.001,0.001,4.456,65.458,64.008,95.475,7.173,6.953,11.156,7.13,6.712,11.724
RMSEDTC_20230216002023030300T.scan,6,144,5.674,5.605,4.327,5.509,4.292,3.877,10.117,0.001,0.001,0.001,4.905,73.847,74.737,116.847,7.585,7.551,12.79,7.886,7.82,13.588
RMSEDTC_20230216002023030300T.scan,7,168,5.946,5.901,4.904,5.795,4.858,4.195,11.39,0.002,0.002,0.001,5.334,84.426,86.714,137.863,8.104,8.222,14.085,8.421,8.314,14.701
RMSEDTC_20230216002023030300T.scan,8,192,6.226,6.209,5.336,6.09,5.284,4.47,12.605,0.002,0.002,0.001,5.728,94.487,99.112,160.263,8.647,8.913,15.887,8.818,8.838,15.779
RMSEDTC_20230216002023030300T.scan,9,216,6.366,6.347,5.598,6.224,5.543,4.726,13.358,0.002,0.002,0.001,5.906,101.048,108.11,175.2,9.11,9.507,16.755,9.072,9.287,16.768
RMSEDTC_20230216002023030300T.scan,10,240,6.388,6.349,5.747,6.228,5.689,4.938,13.854,0.002,0.002,0.001,5.987,105.229,113.074,183.699,9.373,9.841,17.769,9.303,9.656,17.44
RMSEDTC_20230216002023030300T.scan,11,264,6.476,6.433,5.88,6.312,5.822,5.066,13.779,0.002,0.002,0.001,6.077,104.812,113.544,185.895,9.355,9.835,18.017,9.312,9.562,17.731
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,3.172,2.901,1.517,2.881,1.516,1.516,3.992,0.001,0.001,0.001,1.818,28.411,26.999,31.934,3.82,3.401,4.747,3.765,3.318,4.769
RMSEBAMH_20230216002023030300T.scan,2,48,4.186,3.924,2.269,3.887,2.259,2.182,5.743,0.001,0.001,0.001,2.817,39.988,36.393,46.833,5.015,4.472,6.526,4.88,4.434,6.68
RMSEBAMH_20230216002023030300T.scan,3,72,4.87,4.646,2.975,4.593,2.957,2.82,7.303,0.001,0.001,0.001,3.562,51.503,48.073,66.788,6.078,5.569,8.532,5.941,5.48,8.633
RMSEBAMH_20230216002023030300T.scan,4,96,5.326,5.121,3.542,5.052,3.517,3.3,8.387,0.001,0.001,0.001,4.127,59.974,57.715,81.969,6.846,6.495,10.169,6.866,6.374,10.294
RMSEBAMH_20230216002023030300T.scan,5,120,5.665,5.497,4.011,5.415,3.979,3.683,9.347,0.001,0.001,0.001,4.628,67.626,66.685,99.08,7.529,7.36,11.719,7.437,7.086,11.927
RMSEBAMH_20230216002023030300T.scan,6,144,6.012,5.911,4.579,5.812,4.538,4.081,10.543,0.002,0.002,0.001,5.078,77.064,77.656,119.811,8.048,7.932,13.066,8.2,8.132,13.735
RMSEBAMH_20230216002023030300T.scan,7,168,6.239,6.165,5.091,6.058,5.043,4.394,11.689,0.002,0.002,0.001,5.442,86.528,88.567,138.701,8.457,8.532,14.431,8.66,8.545,14.625
RMSEBAMH_20230216002023030300T.scan,8,192,6.407,6.35,5.412,6.237,5.359,4.655,12.479,0.002,0.002,0.001,5.695,93.218,96.645,152.187,8.809,8.934,15.342,9.1,9.062,15.754
RMSEBAMH_20230216002023030300T.scan,9,216,6.675,6.646,5.71,6.523,5.648,4.823,13.466,0.002,0.002,0.001,5.995,101.206,105.967,167.148,9.136,9.393,16.09,9.336,9.48,16.734
RMSEBAMH_20230216002023030300T.scan,10,240,6.679,6.648,5.939,6.524,5.875,4.912,14.334,0.002,0.002,0.001,6.105,108.054,114.565,181.514,9.425,9.819,17.249,9.44,9.841,17.764
