,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.787,0.845,0.979,0.836,0.978,0.966,0.926,0.856,0.84,0.875,0.94,0.969,0.992,0.995,0.903,0.963,0.974,0.905,0.965,0.976
ACORX666_20230216002023030300T.scan,2,48,0.732,0.791,0.941,0.781,0.94,0.912,0.883,0.773,0.706,0.748,0.843,0.936,0.97,0.975,0.844,0.921,0.933,0.841,0.925,0.938
ACORX666_20230216002023030300T.scan,3,72,0.676,0.736,0.882,0.726,0.881,0.831,0.828,0.682,0.58,0.623,0.728,0.887,0.93,0.937,0.767,0.859,0.868,0.762,0.857,0.869
ACORX666_20230216002023030300T.scan,4,96,0.6,0.663,0.8,0.655,0.799,0.724,0.754,0.582,0.466,0.489,0.596,0.818,0.86,0.861,0.675,0.773,0.774,0.652,0.75,0.756
ACORX666_20230216002023030300T.scan,5,120,0.539,0.592,0.684,0.586,0.683,0.587,0.655,0.493,0.387,0.378,0.479,0.719,0.759,0.753,0.576,0.666,0.664,0.523,0.616,0.613
ACORX666_20230216002023030300T.scan,6,144,0.454,0.495,0.564,0.491,0.563,0.469,0.538,0.394,0.303,0.307,0.369,0.599,0.638,0.636,0.467,0.547,0.539,0.382,0.466,0.453
ACORX666_20230216002023030300T.scan,7,168,0.375,0.406,0.446,0.404,0.445,0.353,0.447,0.32,0.239,0.242,0.273,0.495,0.517,0.51,0.377,0.433,0.426,0.268,0.314,0.298
ACORX666_20230216002023030300T.scan,8,192,0.314,0.336,0.347,0.336,0.346,0.257,0.376,0.243,0.177,0.205,0.198,0.406,0.42,0.414,0.291,0.345,0.344,0.164,0.183,0.17
ACORX666_20230216002023030300T.scan,9,216,0.314,0.322,0.271,0.324,0.27,0.188,0.28,0.213,0.145,0.164,0.141,0.276,0.311,0.325,0.195,0.248,0.252,0.106,0.123,0.136
ACORX666_20230216002023030300T.scan,10,240,0.315,0.308,0.21,0.311,0.21,0.162,0.215,0.196,0.142,0.129,0.114,0.191,0.217,0.237,0.138,0.179,0.182,0.073,0.102,0.098
ACORX666_20230216002023030300T.scan,11,264,0.301,0.286,0.148,0.29,0.148,0.147,0.22,0.173,0.125,0.096,0.073,0.192,0.184,0.186,0.13,0.158,0.14,0.086,0.082,0.044
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.937,0.941,0.997,0.935,0.997,0.948,0.958,0.952,0.97,0.972,0.963,0.999,1.0,0.98,0.933,0.965,0.959,0.929,0.955,0.96
ACORDTC_20230216002023030300T.scan,2,48,0.874,0.879,0.992,0.87,0.992,0.868,0.909,0.849,0.908,0.896,0.835,0.999,1.0,0.946,0.839,0.913,0.898,0.829,0.883,0.896
ACORDTC_20230216002023030300T.scan,3,72,0.813,0.816,0.987,0.805,0.986,0.77,0.847,0.743,0.85,0.819,0.679,0.998,1.0,0.884,0.721,0.842,0.813,0.718,0.796,0.8
ACORDTC_20230216002023030300T.scan,4,96,0.749,0.748,0.979,0.735,0.978,0.645,0.747,0.634,0.798,0.758,0.535,0.997,1.0,0.786,0.599,0.753,0.699,0.584,0.675,0.667
ACORDTC_20230216002023030300T.scan,5,120,0.694,0.679,0.968,0.667,0.968,0.505,0.647,0.527,0.748,0.71,0.411,0.995,1.0,0.654,0.504,0.663,0.561,0.442,0.514,0.483
ACORDTC_20230216002023030300T.scan,6,144,0.655,0.623,0.957,0.61,0.956,0.384,0.552,0.442,0.713,0.673,0.324,0.994,0.999,0.53,0.42,0.579,0.452,0.319,0.367,0.322
ACORDTC_20230216002023030300T.scan,7,168,0.609,0.561,0.947,0.547,0.947,0.286,0.479,0.367,0.688,0.645,0.259,0.992,0.999,0.442,0.36,0.51,0.376,0.238,0.254,0.209
ACORDTC_20230216002023030300T.scan,8,192,0.587,0.529,0.939,0.515,0.938,0.236,0.397,0.315,0.666,0.618,0.203,0.991,0.999,0.347,0.284,0.428,0.273,0.151,0.162,0.119
ACORDTC_20230216002023030300T.scan,9,216,0.58,0.515,0.93,0.504,0.929,0.178,0.324,0.247,0.638,0.592,0.13,0.989,0.999,0.227,0.197,0.354,0.158,0.081,0.067,0.025
ACORDTC_20230216002023030300T.scan,10,240,0.578,0.503,0.923,0.494,0.922,0.166,0.282,0.209,0.619,0.571,0.091,0.988,0.999,0.15,0.158,0.31,0.108,0.043,0.011,-0.046
