,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.783,0.723,0.904,0.684,0.905,0.915,0.837,0.698,0.701,0.871,0.901,0.865,0.921,0.965,0.794,0.938,0.936,0.729,0.881,0.902
ACORX666_20230216002023030300T.scan,2,48,0.745,0.622,0.847,0.578,0.848,0.874,0.809,0.608,0.546,0.764,0.796,0.841,0.877,0.945,0.669,0.883,0.876,0.612,0.787,0.814
ACORX666_20230216002023030300T.scan,3,72,0.718,0.565,0.79,0.517,0.791,0.845,0.805,0.568,0.442,0.676,0.703,0.831,0.851,0.924,0.589,0.827,0.816,0.538,0.692,0.73
ACORX666_20230216002023030300T.scan,4,96,0.691,0.514,0.736,0.46,0.735,0.815,0.747,0.533,0.357,0.594,0.621,0.767,0.804,0.885,0.521,0.766,0.755,0.464,0.604,0.641
ACORX666_20230216002023030300T.scan,5,120,0.659,0.454,0.679,0.4,0.678,0.781,0.681,0.511,0.3,0.52,0.545,0.71,0.787,0.863,0.476,0.699,0.694,0.394,0.514,0.552
ACORX666_20230216002023030300T.scan,6,144,0.642,0.413,0.591,0.355,0.591,0.739,0.577,0.496,0.256,0.459,0.486,0.603,0.726,0.818,0.426,0.634,0.635,0.334,0.437,0.482
ACORX666_20230216002023030300T.scan,7,168,0.634,0.395,0.503,0.336,0.503,0.706,0.529,0.487,0.233,0.42,0.438,0.553,0.68,0.775,0.402,0.574,0.59,0.289,0.376,0.423
ACORX666_20230216002023030300T.scan,8,192,0.614,0.365,0.42,0.308,0.424,0.666,0.492,0.475,0.21,0.391,0.399,0.515,0.614,0.709,0.36,0.503,0.565,0.219,0.276,0.362
ACORX666_20230216002023030300T.scan,9,216,0.593,0.345,0.362,0.29,0.369,0.613,0.484,0.457,0.198,0.35,0.36,0.507,0.606,0.676,0.321,0.432,0.527,0.157,0.201,0.247
ACORX666_20230216002023030300T.scan,10,240,0.583,0.315,0.323,0.261,0.331,0.562,0.447,0.463,0.2,0.312,0.333,0.483,0.602,0.656,0.292,0.365,0.488,0.136,0.126,0.16
ACORX666_20230216002023030300T.scan,11,264,0.565,0.296,0.272,0.24,0.284,0.512,0.456,0.463,0.194,0.286,0.305,0.491,0.596,0.624,0.264,0.309,0.439,0.132,0.111,0.147
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.979,0.991,0.999,0.987,0.999,0.888,0.703,0.962,0.981,0.99,0.97,1.0,1.0,0.885,0.899,0.975,0.938,0.861,0.927,0.893
ACORDTC_20230216002023030300T.scan,2,48,0.955,0.98,0.999,0.971,0.998,0.823,0.656,0.903,0.948,0.967,0.891,1.0,1.0,0.866,0.777,0.942,0.859,0.695,0.843,0.778
ACORDTC_20230216002023030300T.scan,3,72,0.937,0.973,0.998,0.96,0.997,0.776,0.602,0.854,0.924,0.944,0.796,1.0,1.0,0.838,0.694,0.908,0.785,0.577,0.758,0.66
ACORDTC_20230216002023030300T.scan,4,96,0.923,0.968,0.998,0.953,0.997,0.734,0.544,0.824,0.91,0.924,0.711,0.999,1.0,0.807,0.645,0.876,0.727,0.505,0.683,0.54
ACORDTC_20230216002023030300T.scan,5,120,0.908,0.961,0.997,0.944,0.996,0.7,0.534,0.801,0.9,0.907,0.64,0.999,1.0,0.79,0.602,0.846,0.68,0.447,0.618,0.457
ACORDTC_20230216002023030300T.scan,6,144,0.895,0.954,0.996,0.934,0.995,0.686,0.527,0.781,0.889,0.891,0.578,0.999,1.0,0.777,0.561,0.817,0.63,0.403,0.546,0.415
ACORDTC_20230216002023030300T.scan,7,168,0.885,0.949,0.996,0.928,0.995,0.667,0.501,0.756,0.879,0.876,0.527,0.999,1.0,0.766,0.528,0.783,0.597,0.363,0.485,0.391
ACORDTC_20230216002023030300T.scan,8,192,0.875,0.945,0.996,0.923,0.995,0.634,0.499,0.734,0.872,0.862,0.482,0.999,1.0,0.733,0.497,0.75,0.571,0.329,0.445,0.349
ACORDTC_20230216002023030300T.scan,9,216,0.868,0.942,0.996,0.92,0.994,0.595,0.487,0.717,0.865,0.848,0.437,0.999,1.0,0.714,0.459,0.715,0.525,0.308,0.41,0.281
ACORDTC_20230216002023030300T.scan,10,240,0.861,0.938,0.995,0.915,0.994,0.53,0.427,0.703,0.86,0.839,0.406,0.999,1.0,0.686,0.433,0.684,0.469,0.291,0.351,0.209
ACORDTC_20230216002023030300T.scan,11,264,0.844,0.931,0.995,0.906,0.994,0.49,0.39,0.694,0.852,0.83,0.377,0.999,1.0,0.643,0.42,0.653,0.404,0.265,0.344,0.169
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.955,0.981,0.999,0.973,0.998,0.839,0.666,0.926,0.96,0.964,0.887,1.0,1.0,0.842,0.774,0.945,0.896,0.723,0.851,0.833
ACORBAMH_20230216002023030300T.scan,2,48,0.929,0.969,0.998,0.955,0.997,0.773,0.625,0.855,0.923,0.925,0.764,1.0,1.0,0.823,0.653,0.896,0.813,0.564,0.744,0.703
ACORBAMH_20230216002023030300T.scan,3,72,0.908,0.96,0.997,0.943,0.996,0.746,0.567,0.809,0.902,0.899,0.667,0.999,1.0,0.801,0.591,0.857,0.75,0.485,0.649,0.603
ACORBAMH_20230216002023030300T.scan,4,96,0.89,0.954,0.997,0.935,0.996,0.714,0.52,0.775,0.89,0.884,0.6,0.999,1.0,0.776,0.545,0.825,0.685,0.441,0.589,0.492
ACORBAMH_20230216002023030300T.scan,5,120,0.871,0.945,0.996,0.923,0.995,0.692,0.522,0.754,0.877,0.87,0.549,0.999,1.0,0.766,0.519,0.795,0.643,0.403,0.539,0.426
ACORBAMH_20230216002023030300T.scan,6,144,0.861,0.939,0.996,0.914,0.994,0.669,0.499,0.734,0.868,0.856,0.498,0.999,1.0,0.752,0.489,0.763,0.601,0.367,0.489,0.404
ACORBAMH_20230216002023030300T.scan,7,168,0.855,0.935,0.995,0.91,0.994,0.652,0.483,0.725,0.864,0.845,0.466,0.999,1.0,0.735,0.464,0.737,0.569,0.333,0.438,0.358
ACORBAMH_20230216002023030300T.scan,8,192,0.847,0.932,0.995,0.906,0.994,0.625,0.486,0.709,0.857,0.835,0.433,0.999,1.0,0.708,0.434,0.712,0.532,0.302,0.406,0.297
ACORBAMH_20230216002023030300T.scan,9,216,0.84,0.93,0.995,0.903,0.994,0.591,0.466,0.693,0.852,0.824,0.398,0.999,1.0,0.693,0.408,0.694,0.505,0.268,0.369,0.26
ACORBAMH_20230216002023030300T.scan,10,240,0.83,0.926,0.995,0.898,0.993,0.55,0.409,0.68,0.847,0.815,0.374,0.999,1.0,0.661,0.383,0.661,0.448,0.26,0.343,0.202
ACORBAMH_20230216002023030300T.scan,11,264,0.823,0.923,0.995,0.895,0.993,0.507,0.383,0.682,0.846,0.804,0.352,0.999,1.0,0.631,0.365,0.636,0.407,0.229,0.289,0.179
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,1.334,1.161,0.551,1.269,0.57,0.539,1.081,0.001,0.001,0.001,3.176,7.922,7.359,9.254,2.757,2.056,3.172,2.413,1.848,3.041
