df_dtc,df_dtc,df_dtc,df_dtc,df_dtc,df_dtc,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2
Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter
2023-02-16 06:00:00,surface pressure,104308,32537.652150909766,0.312,OMF,2023-02-16 06:00:00,surface pressure,104257,33479.04087303539,0.321,OMF,2023-02-16 06:00:00,surface pressure,104272,35096.73368782427,0.337,OMF,2023-02-16 06:00:00,surface pressure,104294,38100.124936537344,0.365,OMF
2023-02-16 06:00:00,temperature,25065,9857.265337087305,0.393,OMF,2023-02-16 06:00:00,temperature,25065,9182.537634606288,0.366,OMF,2023-02-16 06:00:00,temperature,25066,9503.859322400222,0.379,OMF,2023-02-16 06:00:00,temperature,25066,10703.905917831413,0.427,OMF
2023-02-16 06:00:00,wind,127888,61267.072233344894,0.479,OMF,2023-02-16 06:00:00,wind,127924,61756.27942853439,0.483,OMF,2023-02-16 06:00:00,wind,127378,61873.631410222726,0.486,OMF,2023-02-16 06:00:00,wind,126994,64416.39036243409,0.507,OMF
2023-02-16 06:00:00,moisture,8705,2103.8324419244764,0.242,OMF,2023-02-16 06:00:00,moisture,8705,1898.683052914768,0.218,OMF,2023-02-16 06:00:00,moisture,8705,1827.0550022129712,0.21,OMF,2023-02-16 06:00:00,moisture,8705,2004.9205406531232,0.23,OMF
2023-02-16 06:00:00,gps,291665,600962.1969308879,2.06,OMF,2023-02-16 06:00:00,gps,294751,521482.2999408494,1.769,OMF,2023-02-16 06:00:00,gps,294747,523230.5720209751,1.775,OMF,2023-02-16 06:00:00,gps,293880,553807.345857963,1.884,OMF
2023-02-16 06:00:00,radiance,164751,129358.21579566407,0.785,OMF,2023-02-16 06:00:00,radiance,163225,145343.28194099647,0.89,OMF,2023-02-16 06:00:00,radiance,161893,160871.76484091964,0.994,OMF,2023-02-16 06:00:00,radiance,158161,184594.33990488455,1.167,OMF
2023-02-16 06:00:00,Jo Global,722382,836086.2348898185,1.157,OMF,2023-02-16 06:00:00,Jo Global,723927,773142.1228709368,1.068,OMF,2023-02-16 06:00:00,Jo Global,722061,792403.6162845549,1.097,OMF,2023-02-16 06:00:00,Jo Global,717100,853627.0275203034,1.19,OMF
2023-02-16 06:00:00,surface pressure,104308,32537.652150909766,0.312,OMF (1st INNER LOOP),2023-02-16 06:00:00,surface pressure,104257,33479.04087303539,0.321,OMF (1st INNER LOOP),2023-02-16 06:00:00,surface pressure,104272,35096.73368782427,0.337,OMF (1st INNER LOOP),2023-02-16 06:00:00,surface pressure,104294,38100.124936537344,0.365,OMF (1st INNER LOOP)
2023-02-16 06:00:00,temperature,25065,9857.265337087305,0.393,OMF (1st INNER LOOP),2023-02-16 06:00:00,temperature,25065,9182.537634606288,0.366,OMF (1st INNER LOOP),2023-02-16 06:00:00,temperature,25066,9503.859322400222,0.379,OMF (1st INNER LOOP),2023-02-16 06:00:00,temperature,25066,10703.905917831413,0.427,OMF (1st INNER LOOP)
2023-02-16 06:00:00,wind,127888,61267.072233344894,0.479,OMF (1st INNER LOOP),2023-02-16 06:00:00,wind,127924,61756.27942853439,0.483,OMF (1st INNER LOOP),2023-02-16 06:00:00,wind,127378,61873.631410222726,0.486,OMF (1st INNER LOOP),2023-02-16 06:00:00,wind,126994,64416.39036243409,0.507,OMF (1st INNER LOOP)
2023-02-16 06:00:00,moisture,8705,2103.8324419244764,0.242,OMF (1st INNER LOOP),2023-02-16 06:00:00,moisture,8705,1898.683052914768,0.218,OMF (1st INNER LOOP),2023-02-16 06:00:00,moisture,8705,1827.0550022129712,0.21,OMF (1st INNER LOOP),2023-02-16 06:00:00,moisture,8705,2004.9205406531232,0.23,OMF (1st INNER LOOP)
2023-02-16 06:00:00,gps,291665,600962.1969308879,2.06,OMF (1st INNER LOOP),2023-02-16 06:00:00,gps,294751,521482.2999408494,1.769,OMF (1st INNER LOOP),2023-02-16 06:00:00,gps,294747,523230.5720209751,1.775,OMF (1st INNER LOOP),2023-02-16 06:00:00,gps,293880,553807.345857963,1.884,OMF (1st INNER LOOP)
